"Date","Source","Site ID","POC","Daily Mean PM2.5 Concentration","UNITS","DAILY_AQI_VALUE","Site Name","DAILY_OBS_COUNT","PERCENT_COMPLETE","AQS_PARAMETER_CODE","AQS_PARAMETER_DESC","CBSA_CODE","CBSA_NAME","STATE_CODE","STATE","COUNTY_CODE","COUNTY","SITE_LATITUDE","SITE_LONGITUDE"
"01/04/2020","AQS","060392010","1","16.4","ug/m3 LC","60","Madera-City","1","100.0000","88101","PM2.5 - Local Conditions","31460","Madera, CA","06","California","039","Madera","36.953256","-120.034203"
"01/16/2020","AQS","060392010","1","9.4","ug/m3 LC","39","Madera-City","1","100.0000","88101","PM2.5 - Local Conditions","31460","Madera, CA","06","California","039","Madera","36.953256","-120.034203"
"01/28/2020","AQS","060392010","1","11.9","ug/m3 LC","50","Madera-City","1","100.0000","88101","PM2.5 - Local Conditions","31460","Madera, CA","06","California","039","Madera","36.953256","-120.034203"
"01/01/2020","AirNow","060392010","3","22","ug/m3 LC","72","Madera-City","1","100.0000","88101","PM2.5 - Local Conditions","31460","Madera, CA","06","California","039","Madera","36.953256","-120.034203"
"01/02/2020","AirNow","060392010","3","24.9","ug/m3 LC","78","Madera-City","1","100.0000","88101","PM2.5 - Local Conditions","31460","Madera, CA","06","California","039","Madera","36.953256","-120.034203"
"01/03/2020","AirNow","060392010","3","20.4","ug/m3 LC","68","Madera-City","1","100.0000","88101","PM2.5 - Local Conditions","31460","Madera, CA","06","California","039","Madera","36.953256","-120.034203"
"01/04/2020","AirNow","060392010","3","14.5","ug/m3 LC","56","Madera-City","1","100.0000","88101","PM2.5 - Local Conditions","31460","Madera, CA","06","California","039","Madera","36.953256","-120.034203"
"01/05/2020","AirNow","060392010","3","10","ug/m3 LC","42","Madera-City","1","100.0000","88101","PM2.5 - Local Conditions","31460","Madera, CA","06","California","039","Madera","36.953256","-120.034203"
"01/06/2020","AirNow","060392010","3","16","ug/m3 LC","59","Madera-City","1","100.0000","88101","PM2.5 - Local Conditions","31460","Madera, CA","06","California","039","Madera","36.953256","-120.034203"
"01/07/2020","AirNow","060392010","3","16.3","ug/m3 LC","60","Madera-City","1","100.0000","88101","PM2.5 - Local Conditions","31460","Madera, CA","06","California","039","Madera","36.953256","-120.034203"
"01/08/2020","AirNow","060392010","3","14.7","ug/m3 LC","56","Madera-City","1","100.0000","88101","PM2.5 - Local Conditions","31460","Madera, CA","06","California","039","Madera","36.953256","-120.034203"
"01/09/2020","AirNow","060392010","3","10","ug/m3 LC","42","Madera-City","1","100.0000","88101","PM2.5 - Local Conditions","31460","Madera, CA","06","California","039","Madera","36.953256","-120.034203"
"01/10/2020","AirNow","060392010","3","9.8","ug/m3 LC","41","Madera-City","1","100.0000","88101","PM2.5 - Local Conditions","31460","Madera, CA","06","California","039","Madera","36.953256","-120.034203"
"01/11/2020","AirNow","060392010","3","11.6","ug/m3 LC","48","Madera-City","1","100.0000","88101","PM2.5 - Local Conditions","31460","Madera, CA","06","California","039","Madera","36.953256","-120.034203"
"01/12/2020","AirNow","060392010","3","11.3","ug/m3 LC","47","Madera-City","1","100.0000","88101","PM2.5 - Local Conditions","31460","Madera, CA","06","California","039","Madera","36.953256","-120.034203"
"01/13/2020","AirNow","060392010","3","7.3","ug/m3 LC","30","Madera-City","1","100.0000","88101","PM2.5 - Local Conditions","31460","Madera, CA","06","California","039","Madera","36.953256","-120.034203"
"01/14/2020","AirNow","060392010","3","10.6","ug/m3 LC","44","Madera-City","1","100.0000","88101","PM2.5 - Local Conditions","31460","Madera, CA","06","California","039","Madera","36.953256","-120.034203"
"01/15/2020","AirNow","060392010","3","10.2","ug/m3 LC","43","Madera-City","1","100.0000","88101","PM2.5 - Local Conditions","31460","Madera, CA","06","California","039","Madera","36.953256","-120.034203"
"01/16/2020","AirNow","060392010","3","7.7","ug/m3 LC","32","Madera-City","1","100.0000","88101","PM2.5 - Local Conditions","31460","Madera, CA","06","California","039","Madera","36.953256","-120.034203"
"01/17/2020","AirNow","060392010","3","5.2","ug/m3 LC","22","Madera-City","1","100.0000","88101","PM2.5 - Local Conditions","31460","Madera, CA","06","California","039","Madera","36.953256","-120.034203"
"01/18/2020","AirNow","060392010","3","10.9","ug/m3 LC","45","Madera-City","1","100.0000","88101","PM2.5 - Local Conditions","31460","Madera, CA","06","California","039","Madera","36.953256","-120.034203"
"01/19/2020","AirNow","060392010","3","18.2","ug/m3 LC","64","Madera-City","1","100.0000","88101","PM2.5 - Local Conditions","31460","Madera, CA","06","California","039","Madera","36.953256","-120.034203"
"01/20/2020","AirNow","060392010","3","17.8","ug/m3 LC","63","Madera-City","1","100.0000","88101","PM2.5 - Local Conditions","31460","Madera, CA","06","California","039","Madera","36.953256","-120.034203"
"01/21/2020","AirNow","060392010","3","19.5","ug/m3 LC","67","Madera-City","1","100.0000","88101","PM2.5 - Local Conditions","31460","Madera, CA","06","California","039","Madera","36.953256","-120.034203"
"01/22/2020","AirNow","060392010","3","11.9","ug/m3 LC","50","Madera-City","1","100.0000","88101","PM2.5 - Local Conditions","31460","Madera, CA","06","California","039","Madera","36.953256","-120.034203"
