"Date","Source","Site ID","POC","Daily Mean PM2.5 Concentration","UNITS","DAILY_AQI_VALUE","Site Name","DAILY_OBS_COUNT","PERCENT_COMPLETE","AQS_PARAMETER_CODE","AQS_PARAMETER_DESC","CBSA_CODE","CBSA_NAME","STATE_CODE","STATE","COUNTY_CODE","COUNTY","SITE_LATITUDE","SITE_LONGITUDE"
"01/01/2020","AirNow","060431001","3","20.8","ug/m3 LC","69","Yosemite NP-Yosemite Village Vistor Center","1","100.0000","88502","Acceptable PM2.5 AQI & Speciation Mass","","","06","California","043","Mariposa","37.748707","-119.587094"
"01/02/2020","AirNow","060431001","3","17.2","ug/m3 LC","62","Yosemite NP-Yosemite Village Vistor Center","1","100.0000","88502","Acceptable PM2.5 AQI & Speciation Mass","","","06","California","043","Mariposa","37.748707","-119.587094"
"01/03/2020","AirNow","060431001","3","17.7","ug/m3 LC","63","Yosemite NP-Yosemite Village Vistor Center","1","100.0000","88502","Acceptable PM2.5 AQI & Speciation Mass","","","06","California","043","Mariposa","37.748707","-119.587094"
"01/04/2020","AirNow","060431001","3","20.6","ug/m3 LC","69","Yosemite NP-Yosemite Village Vistor Center","1","100.0000","88502","Acceptable PM2.5 AQI & Speciation Mass","","","06","California","043","Mariposa","37.748707","-119.587094"
"01/05/2020","AirNow","060431001","3","45.9","ug/m3 LC","127","Yosemite NP-Yosemite Village Vistor Center","1","100.0000","88502","Acceptable PM2.5 AQI & Speciation Mass","","","06","California","043","Mariposa","37.748707","-119.587094"
"01/08/2020","AirNow","060431001","3","11","ug/m3 LC","46","Yosemite NP-Yosemite Village Vistor Center","1","100.0000","88502","Acceptable PM2.5 AQI & Speciation Mass","","","06","California","043","Mariposa","37.748707","-119.587094"
"01/09/2020","AirNow","060431001","3","9.2","ug/m3 LC","38","Yosemite NP-Yosemite Village Vistor Center","1","100.0000","88502","Acceptable PM2.5 AQI & Speciation Mass","","","06","California","043","Mariposa","37.748707","-119.587094"
"01/10/2020","AirNow","060431001","3","13.2","ug/m3 LC","53","Yosemite NP-Yosemite Village Vistor Center","1","100.0000","88502","Acceptable PM2.5 AQI & Speciation Mass","","","06","California","043","Mariposa","37.748707","-119.587094"
"01/11/2020","AirNow","060431001","3","14.7","ug/m3 LC","56","Yosemite NP-Yosemite Village Vistor Center","1","100.0000","88502","Acceptable PM2.5 AQI & Speciation Mass","","","06","California","043","Mariposa","37.748707","-119.587094"
"01/12/2020","AirNow","060431001","3","9.9","ug/m3 LC","41","Yosemite NP-Yosemite Village Vistor Center","1","100.0000","88502","Acceptable PM2.5 AQI & Speciation Mass","","","06","California","043","Mariposa","37.748707","-119.587094"
