"Date","Source","Site ID","POC","Daily Mean PM2.5 Concentration","UNITS","DAILY_AQI_VALUE","Site Name","DAILY_OBS_COUNT","PERCENT_COMPLETE","AQS_PARAMETER_CODE","AQS_PARAMETER_DESC","CBSA_CODE","CBSA_NAME","STATE_CODE","STATE","COUNTY_CODE","COUNTY","SITE_LATITUDE","SITE_LONGITUDE"
"01/01/2020","AQS","060190011","1","42.3","ug/m3 LC","118","Fresno - Garland","1","100.0000","88101","PM2.5 - Local Conditions","23420","Fresno, CA","06","California","019","Fresno","36.78538","-119.77321"
"01/02/2020","AQS","060190011","1","35.9","ug/m3 LC","102","Fresno - Garland","1","100.0000","88101","PM2.5 - Local Conditions","23420","Fresno, CA","06","California","019","Fresno","36.78538","-119.77321"
"01/03/2020","AQS","060190011","1","29.6","ug/m3 LC","88","Fresno - Garland","1","100.0000","88101","PM2.5 - Local Conditions","23420","Fresno, CA","06","California","019","Fresno","36.78538","-119.77321"
"01/04/2020","AQS","060190011","1","15.6","ug/m3 LC","58","Fresno - Garland","1","100.0000","88101","PM2.5 - Local Conditions","23420","Fresno, CA","06","California","019","Fresno","36.78538","-119.77321"
"01/05/2020","AQS","060190011","1","13.8","ug/m3 LC","55","Fresno - Garland","1","100.0000","88101","PM2.5 - Local Conditions","23420","Fresno, CA","06","California","019","Fresno","36.78538","-119.77321"
"01/06/2020","AQS","060190011","1","23.7","ug/m3 LC","75","Fresno - Garland","1","100.0000","88101","PM2.5 - Local Conditions","23420","Fresno, CA","06","California","019","Fresno","36.78538","-119.77321"
"01/07/2020","AQS","060190011","1","23.3","ug/m3 LC","75","Fresno - Garland","1","100.0000","88101","PM2.5 - Local Conditions","23420","Fresno, CA","06","California","019","Fresno","36.78538","-119.77321"
"01/08/2020","AQS","060190011","1","18.8","ug/m3 LC","65","Fresno - Garland","1","100.0000","88101","PM2.5 - Local Conditions","23420","Fresno, CA","06","California","019","Fresno","36.78538","-119.77321"
"01/09/2020","AQS","060190011","1","13.2","ug/m3 LC","53","Fresno - Garland","1","100.0000","88101","PM2.5 - Local Conditions","23420","Fresno, CA","06","California","019","Fresno","36.78538","-119.77321"
"01/10/2020","AQS","060190011","1","17","ug/m3 LC","61","Fresno - Garland","1","100.0000","88101","PM2.5 - Local Conditions","23420","Fresno, CA","06","California","019","Fresno","36.78538","-119.77321"
"01/11/2020","AQS","060190011","1","17.2","ug/m3 LC","62","Fresno - Garland","1","100.0000","88101","PM2.5 - Local Conditions","23420","Fresno, CA","06","California","019","Fresno","36.78538","-119.77321"
"01/12/2020","AQS","060190011","1","19.1","ug/m3 LC","66","Fresno - Garland","1","100.0000","88101","PM2.5 - Local Conditions","23420","Fresno, CA","06","California","019","Fresno","36.78538","-119.77321"
"01/13/2020","AQS","060190011","1","21","ug/m3 LC","70","Fresno - Garland","1","100.0000","88101","PM2.5 - Local Conditions","23420","Fresno, CA","06","California","019","Fresno","36.78538","-119.77321"
"01/16/2020","AQS","060190011","1","10.8","ug/m3 LC","45","Fresno - Garland","1","100.0000","88101","PM2.5 - Local Conditions","23420","Fresno, CA","06","California","019","Fresno","36.78538","-119.77321"
"01/17/2020","AQS","060190011","1","9.9","ug/m3 LC","41","Fresno - Garland","1","100.0000","88101","PM2.5 - Local Conditions","23420","Fresno, CA","06","California","019","Fresno","36.78538","-119.77321"
"01/18/2020","AQS","060190011","1","17.8","ug/m3 LC","63","Fresno - Garland","1","100.0000","88101","PM2.5 - Local Conditions","23420","Fresno, CA","06","California","019","Fresno","36.78538","-119.77321"
"01/19/2020","AQS","060190011","1","26.2","ug/m3 LC","81","Fresno - Garland","1","100.0000","88101","PM2.5 - Local Conditions","23420","Fresno, CA","06","California","019","Fresno","36.78538","-119.77321"
"01/20/2020","AQS","060190011","1","24.3","ug/m3 LC","77","Fresno - Garland","1","100.0000","88101","PM2.5 - Local Conditions","23420","Fresno, CA","06","California","019","Fresno","36.78538","-119.77321"
"01/21/2020","AQS","060190011","1","26.2","ug/m3 LC","81","Fresno - Garland","1","100.0000","88101","PM2.5 - Local Conditions","23420","Fresno, CA","06","California","019","Fresno","36.78538","-119.77321"
"01/22/2020","AQS","060190011","1","21.3","ug/m3 LC","70","Fresno - Garland","1","100.0000","88101","PM2.5 - Local Conditions","23420","Fresno, CA","06","California","019","Fresno","36.78538","-119.77321"
"01/23/2020","AQS","060190011","1","14.8","ug/m3 LC","57","Fresno - Garland","1","100.0000","88101","PM2.5 - Local Conditions","23420","Fresno, CA","06","California","019","Fresno","36.78538","-119.77321"
"01/24/2020","AQS","060190011","1","28","ug/m3 LC","84","Fresno - Garland","1","100.0000","88101","PM2.5 - Local Conditions","23420","Fresno, CA","06","California","019","Fresno","36.78538","-119.77321"
"01/25/2020","AQS","060190011","1","36.2","ug/m3 LC","103","Fresno - Garland","1","100.0000","88101","PM2.5 - Local Conditions","23420","Fresno, CA","06","California","019","Fresno","36.78538","-119.77321"
"01/26/2020","AQS","060190011","1","19.3","ug/m3 LC","66","Fresno - Garland","1","100.0000","88101","PM2.5 - Local Conditions","23420","Fresno, CA","06","California","019","Fresno","36.78538","-119.77321"
"01/27/2020","AQS","060190011","1","12.6","ug/m3 LC","52","Fresno - Garland","1","100.0000","88101","PM2.5 - Local Conditions","23420","Fresno, CA","06","California","019","Fresno","36.78538","-119.77321"
"01/28/2020","AQS","060190011","1","12.9","ug/m3 LC","53","Fresno - Garland","1","100.0000","88101","PM2.5 - Local Conditions","23420","Fresno, CA","06","California","019","Fresno","36.78538","-119.77321"
"01/29/2020","AQS","060190011","1","11.1","ug/m3 LC","46","Fresno - Garland","1","100.0000","88101","PM2.5 - Local Conditions","23420","Fresno, CA","06","California","019","Fresno","36.78538","-119.77321"
"01/30/2020","AQS","060190011","1","19.5","ug/m3 LC","67","Fresno - Garland","1","100.0000","88101","PM2.5 - Local Conditions","23420","Fresno, CA","06","California","019","Fresno","36.78538","-119.77321"
"01/31/2020","AQS","060190011","1","26.2","ug/m3 LC","81","Fresno - Garland","1","100.0000","88101","PM2.5 - Local Conditions","23420","Fresno, CA","06","California","019","Fresno","36.78538","-119.77321"
"01/04/2020","AQS","060190011","2","16","ug/m3 LC","59","Fresno - Garland","1","100.0000","88101","PM2.5 - Local Conditions","23420","Fresno, CA","06","California","019","Fresno","36.78538","-119.77321"
"01/16/2020","AQS","060190011","2","10.5","ug/m3 LC","44","Fresno - Garland","1","100.0000","88101","PM2.5 - Local Conditions","23420","Fresno, CA","06","California","019","Fresno","36.78538","-119.77321"
"01/28/2020","AQS","060190011","2","13.1","ug/m3 LC","53","Fresno - Garland","1","100.0000","88101","PM2.5 - Local Conditions","23420","Fresno, CA","06","California","019","Fresno","36.78538","-119.77321"
"01/01/2020","AirNow","060190011","3","39","ug/m3 LC","110","Fresno - Garland","1","100.0000","88101","PM2.5 - Local Conditions","23420","Fresno, CA","06","California","019","Fresno","36.78538","-119.77321"
"01/02/2020","AirNow","060190011","3","30.4","ug/m3 LC","89","Fresno - Garland","1","100.0000","88101","PM2.5 - Local Conditions","23420","Fresno, CA","06","California","019","Fresno","36.78538","-119.77321"
"01/03/2020","AirNow","060190011","3","25.4","ug/m3 LC","79","Fresno - Garland","1","100.0000","88101","PM2.5 - Local Conditions","23420","Fresno, CA","06","California","019","Fresno","36.78538","-119.77321"
"01/04/2020","AirNow","060190011","3","14.6","ug/m3 LC","56","Fresno - Garland","1","100.0000","88101","PM2.5 - Local Conditions","23420","Fresno, CA","06","California","019","Fresno","36.78538","-119.77321"
"01/05/2020","AirNow","060190011","3","10.7","ug/m3 LC","45","Fresno - Garland","1","100.0000","88101","PM2.5 - Local Conditions","23420","Fresno, CA","06","California","019","Fresno","36.78538","-119.77321"
"01/06/2020","AirNow","060190011","3","17.6","ug/m3 LC","63","Fresno - Garland","1","100.0000","88101","PM2.5 - Local Conditions","23420","Fresno, CA","06","California","019","Fresno","36.78538","-119.77321"
"01/07/2020","AirNow","060190011","3","18.3","ug/m3 LC","64","Fresno - Garland","1","100.0000","88101","PM2.5 - Local Conditions","23420","Fresno, CA","06","California","019","Fresno","36.78538","-119.77321"
"01/08/2020","AirNow","060190011","3","14.5","ug/m3 LC","56","Fresno - Garland","1","100.0000","88101","PM2.5 - Local Conditions","23420","Fresno, CA","06","California","019","Fresno","36.78538","-119.77321"
"01/09/2020","AirNow","060190011","3","10.5","ug/m3 LC","44","Fresno - Garland","1","100.0000","88101","PM2.5 - Local Conditions","23420","Fresno, CA","06","California","019","Fresno","36.78538","-119.77321"
"01/10/2020","AirNow","060190011","3","15.2","ug/m3 LC","58","Fresno - Garland","1","100.0000","88101","PM2.5 - Local Conditions","23420","Fresno, CA","06","California","019","Fresno","36.78538","-119.77321"
"01/11/2020","AirNow","060190011","3","14.5","ug/m3 LC","56","Fresno - Garland","1","100.0000","88101","PM2.5 - Local Conditions","23420","Fresno, CA","06","California","019","Fresno","36.78538","-119.77321"
