"Date","Source","Site ID","POC","Daily Mean PM2.5 Concentration","UNITS","DAILY_AQI_VALUE","Site Name","DAILY_OBS_COUNT","PERCENT_COMPLETE","AQS_PARAMETER_CODE","AQS_PARAMETER_DESC","CBSA_CODE","CBSA_NAME","STATE_CODE","STATE","COUNTY_CODE","COUNTY","SITE_LATITUDE","SITE_LONGITUDE"
"04/01/2020","AQS","060110007","1","4","ug/m3 LC","17","Cortina Indian Rancheria","1","100.0000","88101","PM2.5 - Local Conditions","","","06","California","011","Colusa","39.0212210009231","-122.281803"
"04/02/2020","AQS","060110007","1","1.6","ug/m3 LC","7","Cortina Indian Rancheria","1","100.0000","88101","PM2.5 - Local Conditions","","","06","California","011","Colusa","39.0212210009231","-122.281803"
"04/03/2020","AQS","060110007","1","2.2","ug/m3 LC","9","Cortina Indian Rancheria","1","100.0000","88101","PM2.5 - Local Conditions","","","06","California","011","Colusa","39.0212210009231","-122.281803"
"04/04/2020","AQS","060110007","1","2","ug/m3 LC","8","Cortina Indian Rancheria","1","100.0000","88101","PM2.5 - Local Conditions","","","06","California","011","Colusa","39.0212210009231","-122.281803"
"01/04/2020","AQS","060111002","1","22.2","ug/m3 LC","72","Colusa-Sunrise Blvd","1","100.0000","88101","PM2.5 - Local Conditions","","","06","California","011","Colusa","39.18919","-121.99887"
"01/10/2020","AQS","060111002","1","4.9","ug/m3 LC","20","Colusa-Sunrise Blvd","1","100.0000","88101","PM2.5 - Local Conditions","","","06","California","011","Colusa","39.18919","-121.99887"
"01/16/2020","AQS","060111002","1","2.8","ug/m3 LC","12","Colusa-Sunrise Blvd","1","100.0000","88101","PM2.5 - Local Conditions","","","06","California","011","Colusa","39.18919","-121.99887"
"01/22/2020","AQS","060111002","1","3.8","ug/m3 LC","16","Colusa-Sunrise Blvd","1","100.0000","88101","PM2.5 - Local Conditions","","","06","California","011","Colusa","39.18919","-121.99887"
"01/28/2020","AQS","060111002","1","5.1","ug/m3 LC","21","Colusa-Sunrise Blvd","1","100.0000","88101","PM2.5 - Local Conditions","","","06","California","011","Colusa","39.18919","-121.99887"
"01/01/2020","AirNow","060111002","3","24.9","ug/m3 LC","78","Colusa-Sunrise Blvd","1","100.0000","88502","Acceptable PM2.5 AQI & Speciation Mass","","","06","California","011","Colusa","39.18919","-121.99887"
"01/02/2020","AirNow","060111002","3","10.3","ug/m3 LC","43","Colusa-Sunrise Blvd","1","100.0000","88502","Acceptable PM2.5 AQI & Speciation Mass","","","06","California","011","Colusa","39.18919","-121.99887"
"01/03/2020","AirNow","060111002","3","18.5","ug/m3 LC","64","Colusa-Sunrise Blvd","1","100.0000","88502","Acceptable PM2.5 AQI & Speciation Mass","","","06","California","011","Colusa","39.18919","-121.99887"
"01/04/2020","AirNow","060111002","3","18.5","ug/m3 LC","64","Colusa-Sunrise Blvd","1","100.0000","88502","Acceptable PM2.5 AQI & Speciation Mass","","","06","California","011","Colusa","39.18919","-121.99887"
"01/05/2020","AirNow","060111002","3","5","ug/m3 LC","21","Colusa-Sunrise Blvd","1","100.0000","88502","Acceptable PM2.5 AQI & Speciation Mass","","","06","California","011","Colusa","39.18919","-121.99887"
"01/06/2020","AirNow","060111002","3","4.6","ug/m3 LC","19","Colusa-Sunrise Blvd","1","100.0000","88502","Acceptable PM2.5 AQI & Speciation Mass","","","06","California","011","Colusa","39.18919","-121.99887"
"01/07/2020","AirNow","060111002","3","14.6","ug/m3 LC","56","Colusa-Sunrise Blvd","1","100.0000","88502","Acceptable PM2.5 AQI & Speciation Mass","","","06","California","011","Colusa","39.18919","-121.99887"
"01/08/2020","AirNow","060111002","3","18.5","ug/m3 LC","64","Colusa-Sunrise Blvd","1","100.0000","88502","Acceptable PM2.5 AQI & Speciation Mass","","","06","California","011","Colusa","39.18919","-121.99887"
"01/09/2020","AirNow","060111002","3","4.5","ug/m3 LC","19","Colusa-Sunrise Blvd","1","100.0000","88502","Acceptable PM2.5 AQI & Speciation Mass","","","06","California","011","Colusa","39.18919","-121.99887"
"01/10/2020","AirNow","060111002","3","3.3","ug/m3 LC","14","Colusa-Sunrise Blvd","1","100.0000","88502","Acceptable PM2.5 AQI & Speciation Mass","","","06","California","011","Colusa","39.18919","-121.99887"
"01/11/2020","AirNow","060111002","3","7.9","ug/m3 LC","33","Colusa-Sunrise Blvd","1","100.0000","88502","Acceptable PM2.5 AQI & Speciation Mass","","","06","California","011","Colusa","39.18919","-121.99887"
"01/12/2020","AirNow","060111002","3","4","ug/m3 LC","17","Colusa-Sunrise Blvd","1","100.0000","88502","Acceptable PM2.5 AQI & Speciation Mass","","","06","California","011","Colusa","39.18919","-121.99887"
"01/13/2020","AirNow","060111002","3","1.8","ug/m3 LC","8","Colusa-Sunrise Blvd","1","100.0000","88502","Acceptable PM2.5 AQI & Speciation Mass","","","06","California","011","Colusa","39.18919","-121.99887"
"01/14/2020","AirNow","060111002","3","0.8","ug/m3 LC","3","Colusa-Sunrise Blvd","1","100.0000","88502","Acceptable PM2.5 AQI & Speciation Mass","","","06","California","011","Colusa","39.18919","-121.99887"
"01/15/2020","AirNow","060111002","3","5.6","ug/m3 LC","23","Colusa-Sunrise Blvd","1","100.0000","88502","Acceptable PM2.5 AQI & Speciation Mass","","","06","California","011","Colusa","39.18919","-121.99887"
"01/16/2020","AirNow","060111002","3","2.7","ug/m3 LC","11","Colusa-Sunrise Blvd","1","100.0000","88502","Acceptable PM2.5 AQI & Speciation Mass","","","06","California","011","Colusa","39.18919","-121.99887"
