"Date","Source","Site ID","POC","Daily Mean PM2.5 Concentration","UNITS","DAILY_AQI_VALUE","Site Name","DAILY_OBS_COUNT","PERCENT_COMPLETE","AQS_PARAMETER_CODE","AQS_PARAMETER_DESC","CBSA_CODE","CBSA_NAME","STATE_CODE","STATE","COUNTY_CODE","COUNTY","SITE_LATITUDE","SITE_LONGITUDE"
"01/04/2020","AQS","060990005","1","22.7","ug/m3 LC","73","Modesto-14th Street","1","100.0000","88101","PM2.5 - Local Conditions","33700","Modesto, CA","06","California","099","Stanislaus","37.642165","-120.994212"
"01/16/2020","AQS","060990005","1","8.2","ug/m3 LC","34","Modesto-14th Street","1","100.0000","88101","PM2.5 - Local Conditions","33700","Modesto, CA","06","California","099","Stanislaus","37.642165","-120.994212"
"01/28/2020","AQS","060990005","1","6.8","ug/m3 LC","28","Modesto-14th Street","1","100.0000","88101","PM2.5 - Local Conditions","33700","Modesto, CA","06","California","099","Stanislaus","37.642165","-120.994212"
"01/01/2020","AirNow","060990005","3","20.2","ug/m3 LC","68","Modesto-14th Street","1","100.0000","88101","PM2.5 - Local Conditions","33700","Modesto, CA","06","California","099","Stanislaus","37.642165","-120.994212"
"01/02/2020","AirNow","060990005","3","19.9","ug/m3 LC","67","Modesto-14th Street","1","100.0000","88101","PM2.5 - Local Conditions","33700","Modesto, CA","06","California","099","Stanislaus","37.642165","-120.994212"
"01/03/2020","AirNow","060990005","3","30","ug/m3 LC","89","Modesto-14th Street","1","100.0000","88101","PM2.5 - Local Conditions","33700","Modesto, CA","06","California","099","Stanislaus","37.642165","-120.994212"
"01/04/2020","AirNow","060990005","3","18.6","ug/m3 LC","65","Modesto-14th Street","1","100.0000","88101","PM2.5 - Local Conditions","33700","Modesto, CA","06","California","099","Stanislaus","37.642165","-120.994212"
"01/05/2020","AirNow","060990005","3","6","ug/m3 LC","25","Modesto-14th Street","1","100.0000","88101","PM2.5 - Local Conditions","33700","Modesto, CA","06","California","099","Stanislaus","37.642165","-120.994212"
"01/06/2020","AirNow","060990005","3","15.5","ug/m3 LC","58","Modesto-14th Street","1","100.0000","88101","PM2.5 - Local Conditions","33700","Modesto, CA","06","California","099","Stanislaus","37.642165","-120.994212"
"01/07/2020","AirNow","060990005","3","18.4","ug/m3 LC","64","Modesto-14th Street","1","100.0000","88101","PM2.5 - Local Conditions","33700","Modesto, CA","06","California","099","Stanislaus","37.642165","-120.994212"
"01/08/2020","AirNow","060990005","3","15.1","ug/m3 LC","57","Modesto-14th Street","1","100.0000","88101","PM2.5 - Local Conditions","33700","Modesto, CA","06","California","099","Stanislaus","37.642165","-120.994212"
"01/09/2020","AirNow","060990005","3","9.9","ug/m3 LC","41","Modesto-14th Street","1","100.0000","88101","PM2.5 - Local Conditions","33700","Modesto, CA","06","California","099","Stanislaus","37.642165","-120.994212"
"01/10/2020","AirNow","060990005","3","13.1","ug/m3 LC","53","Modesto-14th Street","1","100.0000","88101","PM2.5 - Local Conditions","33700","Modesto, CA","06","California","099","Stanislaus","37.642165","-120.994212"
"01/11/2020","AirNow","060990005","3","10.5","ug/m3 LC","44","Modesto-14th Street","1","100.0000","88101","PM2.5 - Local Conditions","33700","Modesto, CA","06","California","099","Stanislaus","37.642165","-120.994212"
"01/12/2020","AirNow","060990005","3","11.5","ug/m3 LC","48","Modesto-14th Street","1","100.0000","88101","PM2.5 - Local Conditions","33700","Modesto, CA","06","California","099","Stanislaus","37.642165","-120.994212"
"01/13/2020","AirNow","060990005","3","8.9","ug/m3 LC","37","Modesto-14th Street","1","100.0000","88101","PM2.5 - Local Conditions","33700","Modesto, CA","06","California","099","Stanislaus","37.642165","-120.994212"
"01/14/2020","AirNow","060990005","3","7.7","ug/m3 LC","32","Modesto-14th Street","1","100.0000","88101","PM2.5 - Local Conditions","33700","Modesto, CA","06","California","099","Stanislaus","37.642165","-120.994212"
"01/15/2020","AirNow","060990005","3","10.9","ug/m3 LC","45","Modesto-14th Street","1","100.0000","88101","PM2.5 - Local Conditions","33700","Modesto, CA","06","California","099","Stanislaus","37.642165","-120.994212"
"01/16/2020","AirNow","060990005","3","7.7","ug/m3 LC","32","Modesto-14th Street","1","100.0000","88101","PM2.5 - Local Conditions","33700","Modesto, CA","06","California","099","Stanislaus","37.642165","-120.994212"
"01/17/2020","AirNow","060990005","3","10.8","ug/m3 LC","45","Modesto-14th Street","1","100.0000","88101","PM2.5 - Local Conditions","33700","Modesto, CA","06","California","099","Stanislaus","37.642165","-120.994212"
"01/18/2020","AirNow","060990005","3","15.7","ug/m3 LC","59","Modesto-14th Street","1","100.0000","88101","PM2.5 - Local Conditions","33700","Modesto, CA","06","California","099","Stanislaus","37.642165","-120.994212"
"01/19/2020","AirNow","060990005","3","15","ug/m3 LC","57","Modesto-14th Street","1","100.0000","88101","PM2.5 - Local Conditions","33700","Modesto, CA","06","California","099","Stanislaus","37.642165","-120.994212"
"01/20/2020","AirNow","060990005","3","24.4","ug/m3 LC","77","Modesto-14th Street","1","100.0000","88101","PM2.5 - Local Conditions","33700","Modesto, CA","06","California","099","Stanislaus","37.642165","-120.994212"
"01/21/2020","AirNow","060990005","3","10.9","ug/m3 LC","45","Modesto-14th Street","1","100.0000","88101","PM2.5 - Local Conditions","33700","Modesto, CA","06","California","099","Stanislaus","37.642165","-120.994212"
"01/22/2020","AirNow","060990005","3","7.9","ug/m3 LC","33","Modesto-14th Street","1","100.0000","88101","PM2.5 - Local Conditions","33700","Modesto, CA","06","California","099","Stanislaus","37.642165","-120.994212"
"01/23/2020","AirNow","060990005","3","16.7","ug/m3 LC","61","Modesto-14th Street","1","100.0000","88101","PM2.5 - Local Conditions","33700","Modesto, CA","06","California","099","Stanislaus","37.642165","-120.994212"
"01/24/2020","AirNow","060990005","3","8.2","ug/m3 LC","34","Modesto-14th Street","1","100.0000","88101","PM2.5 - Local Conditions","33700","Modesto, CA","06","California","099","Stanislaus","37.642165","-120.994212"
"01/25/2020","AirNow","060990005","3","21.2","ug/m3 LC","70","Modesto-14th Street","1","100.0000","88101","PM2.5 - Local Conditions","33700","Modesto, CA","06","California","099","Stanislaus","37.642165","-120.994212"
"01/26/2020","AirNow","060990005","3","16.9","ug/m3 LC","61","Modesto-14th Street","1","100.0000","88101","PM2.5 - Local Conditions","33700","Modesto, CA","06","California","099","Stanislaus","37.642165","-120.994212"
"01/27/2020","AirNow","060990005","3","5.7","ug/m3 LC","24","Modesto-14th Street","1","100.0000","88101","PM2.5 - Local Conditions","33700","Modesto, CA","06","California","099","Stanislaus","37.642165","-120.994212"
"01/28/2020","AirNow","060990005","3","5.6","ug/m3 LC","23","Modesto-14th Street","1","100.0000","88101","PM2.5 - Local Conditions","33700","Modesto, CA","06","California","099","Stanislaus","37.642165","-120.994212"
"01/29/2020","AirNow","060990005","3","6.3","ug/m3 LC","26","Modesto-14th Street","1","100.0000","88101","PM2.5 - Local Conditions","33700","Modesto, CA","06","California","099","Stanislaus","37.642165","-120.994212"
