"Date","Source","Site ID","POC","Daily Mean PM2.5 Concentration","UNITS","DAILY_AQI_VALUE","Site Name","DAILY_OBS_COUNT","PERCENT_COMPLETE","AQS_PARAMETER_CODE","AQS_PARAMETER_DESC","CBSA_CODE","CBSA_NAME","STATE_CODE","STATE","COUNTY_CODE","COUNTY","SITE_LATITUDE","SITE_LONGITUDE"
"01/01/2020","AirNow","060270002","1","1.6","ug/m3 LC","7","White Mountain Research Center - Owens Valley Lab","1","100.0000","88101","PM2.5 - Local Conditions","13860","Bishop, CA","06","California","027","Inyo","37.360684","-118.330783"
"01/02/2020","AirNow","060270002","1","0.9","ug/m3 LC","4","White Mountain Research Center - Owens Valley Lab","1","100.0000","88101","PM2.5 - Local Conditions","13860","Bishop, CA","06","California","027","Inyo","37.360684","-118.330783"
"01/03/2020","AirNow","060270002","1","1.1","ug/m3 LC","5","White Mountain Research Center - Owens Valley Lab","1","100.0000","88101","PM2.5 - Local Conditions","13860","Bishop, CA","06","California","027","Inyo","37.360684","-118.330783"
"01/04/2020","AirNow","060270002","1","2","ug/m3 LC","8","White Mountain Research Center - Owens Valley Lab","1","100.0000","88101","PM2.5 - Local Conditions","13860","Bishop, CA","06","California","027","Inyo","37.360684","-118.330783"
"01/05/2020","AirNow","060270002","1","1.8","ug/m3 LC","8","White Mountain Research Center - Owens Valley Lab","1","100.0000","88101","PM2.5 - Local Conditions","13860","Bishop, CA","06","California","027","Inyo","37.360684","-118.330783"
"01/06/2020","AirNow","060270002","1","1.9","ug/m3 LC","8","White Mountain Research Center - Owens Valley Lab","1","100.0000","88101","PM2.5 - Local Conditions","13860","Bishop, CA","06","California","027","Inyo","37.360684","-118.330783"
"01/07/2020","AirNow","060270002","1","2.7","ug/m3 LC","11","White Mountain Research Center - Owens Valley Lab","1","100.0000","88101","PM2.5 - Local Conditions","13860","Bishop, CA","06","California","027","Inyo","37.360684","-118.330783"
"01/08/2020","AirNow","060270002","1","2","ug/m3 LC","8","White Mountain Research Center - Owens Valley Lab","1","100.0000","88101","PM2.5 - Local Conditions","13860","Bishop, CA","06","California","027","Inyo","37.360684","-118.330783"
"01/09/2020","AirNow","060270002","1","2.3","ug/m3 LC","10","White Mountain Research Center - Owens Valley Lab","1","100.0000","88101","PM2.5 - Local Conditions","13860","Bishop, CA","06","California","027","Inyo","37.360684","-118.330783"
"01/10/2020","AirNow","060270002","1","1.9","ug/m3 LC","8","White Mountain Research Center - Owens Valley Lab","1","100.0000","88101","PM2.5 - Local Conditions","13860","Bishop, CA","06","California","027","Inyo","37.360684","-118.330783"
"01/11/2020","AirNow","060270002","1","2.9","ug/m3 LC","12","White Mountain Research Center - Owens Valley Lab","1","100.0000","88101","PM2.5 - Local Conditions","13860","Bishop, CA","06","California","027","Inyo","37.360684","-118.330783"
"01/12/2020","AirNow","060270002","1","2.7","ug/m3 LC","11","White Mountain Research Center - Owens Valley Lab","1","100.0000","88101","PM2.5 - Local Conditions","13860","Bishop, CA","06","California","027","Inyo","37.360684","-118.330783"
"01/13/2020","AirNow","060270002","1","3.7","ug/m3 LC","15","White Mountain Research Center - Owens Valley Lab","1","100.0000","88101","PM2.5 - Local Conditions","13860","Bishop, CA","06","California","027","Inyo","37.360684","-118.330783"
"01/14/2020","AirNow","060270002","1","3.6","ug/m3 LC","15","White Mountain Research Center - Owens Valley Lab","1","100.0000","88101","PM2.5 - Local Conditions","13860","Bishop, CA","06","California","027","Inyo","37.360684","-118.330783"
"01/15/2020","AirNow","060270002","1","3.5","ug/m3 LC","15","White Mountain Research Center - Owens Valley Lab","1","100.0000","88101","PM2.5 - Local Conditions","13860","Bishop, CA","06","California","027","Inyo","37.360684","-118.330783"
"01/16/2020","AirNow","060270002","1","5.6","ug/m3 LC","23","White Mountain Research Center - Owens Valley Lab","1","100.0000","88101","PM2.5 - Local Conditions","13860","Bishop, CA","06","California","027","Inyo","37.360684","-118.330783"
"01/17/2020","AirNow","060270002","1","1.3","ug/m3 LC","5","White Mountain Research Center - Owens Valley Lab","1","100.0000","88101","PM2.5 - Local Conditions","13860","Bishop, CA","06","California","027","Inyo","37.360684","-118.330783"
"01/18/2020","AirNow","060270002","1","2.5","ug/m3 LC","10","White Mountain Research Center - Owens Valley Lab","1","100.0000","88101","PM2.5 - Local Conditions","13860","Bishop, CA","06","California","027","Inyo","37.360684","-118.330783"
"01/19/2020","AirNow","060270002","1","2.7","ug/m3 LC","11","White Mountain Research Center - Owens Valley Lab","1","100.0000","88101","PM2.5 - Local Conditions","13860","Bishop, CA","06","California","027","Inyo","37.360684","-118.330783"
"01/20/2020","AirNow","060270002","1","2.3","ug/m3 LC","10","White Mountain Research Center - Owens Valley Lab","1","100.0000","88101","PM2.5 - Local Conditions","13860","Bishop, CA","06","California","027","Inyo","37.360684","-118.330783"
"01/21/2020","AirNow","060270002","1","2.1","ug/m3 LC","9","White Mountain Research Center - Owens Valley Lab","1","100.0000","88101","PM2.5 - Local Conditions","13860","Bishop, CA","06","California","027","Inyo","37.360684","-118.330783"
"01/22/2020","AirNow","060270002","1","2.9","ug/m3 LC","12","White Mountain Research Center - Owens Valley Lab","1","100.0000","88101","PM2.5 - Local Conditions","13860","Bishop, CA","06","California","027","Inyo","37.360684","-118.330783"
"01/23/2020","AirNow","060270002","1","2.1","ug/m3 LC","9","White Mountain Research Center - Owens Valley Lab","1","100.0000","88101","PM2.5 - Local Conditions","13860","Bishop, CA","06","California","027","Inyo","37.360684","-118.330783"
"01/24/2020","AirNow","060270002","1","2.6","ug/m3 LC","11","White Mountain Research Center - Owens Valley Lab","1","100.0000","88101","PM2.5 - Local Conditions","13860","Bishop, CA","06","California","027","Inyo","37.360684","-118.330783"
"01/25/2020","AirNow","060270002","1","2.3","ug/m3 LC","10","White Mountain Research Center - Owens Valley Lab","1","100.0000","88101","PM2.5 - Local Conditions","13860","Bishop, CA","06","California","027","Inyo","37.360684","-118.330783"
"01/26/2020","AirNow","060270002","1","1.9","ug/m3 LC","8","White Mountain Research Center - Owens Valley Lab","1","100.0000","88101","PM2.5 - Local Conditions","13860","Bishop, CA","06","California","027","Inyo","37.360684","-118.330783"
"01/27/2020","AirNow","060270002","1","1.9","ug/m3 LC","8","White Mountain Research Center - Owens Valley Lab","1","100.0000","88101","PM2.5 - Local Conditions","13860","Bishop, CA","06","California","027","Inyo","37.360684","-118.330783"
"01/28/2020","AirNow","060270002","1","1.9","ug/m3 LC","8","White Mountain Research Center - Owens Valley Lab","1","100.0000","88101","PM2.5 - Local Conditions","13860","Bishop, CA","06","California","027","Inyo","37.360684","-118.330783"
"01/29/2020","AirNow","060270002","1","1.3","ug/m3 LC","5","White Mountain Research Center - Owens Valley Lab","1","100.0000","88101","PM2.5 - Local Conditions","13860","Bishop, CA","06","California","027","Inyo","37.360684","-118.330783"
"01/30/2020","AirNow","060270002","1","0.6","ug/m3 LC","3","White Mountain Research Center - Owens Valley Lab","1","100.0000","88101","PM2.5 - Local Conditions","13860","Bishop, CA","06","California","027","Inyo","37.360684","-118.330783"
"01/31/2020","AirNow","060270002","1","0.3","ug/m3 LC","1","White Mountain Research Center - Owens Valley Lab","1","100.0000","88101","PM2.5 - Local Conditions","13860","Bishop, CA","06","California","027","Inyo","37.360684","-118.330783"
"02/01/2020","AirNow","060270002","1","0.3","ug/m3 LC","1","White Mountain Research Center - Owens Valley Lab","1","100.0000","88101","PM2.5 - Local Conditions","13860","Bishop, CA","06","California","027","Inyo","37.360684","-118.330783"
"02/02/2020","AirNow","060270002","1","0.8","ug/m3 LC","3","White Mountain Research Center - Owens Valley Lab","1","100.0000","88101","PM2.5 - Local Conditions","13860","Bishop, CA","06","California","027","Inyo","37.360684","-118.330783"
